Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn)
Folgefonna Skisenter;SN49085;22.03.2016;3.7
Folgefonna Skisenter;SN49085;23.03.2016;1.1
Folgefonna Skisenter;SN49085;24.03.2016;4.7
Folgefonna Skisenter;SN49085;25.03.2016;5.3
Folgefonna Skisenter;SN49085;26.03.2016;11.3
Folgefonna Skisenter;SN49085;27.03.2016;10.4
Folgefonna Skisenter;SN49085;28.03.2016;12.9
Folgefonna Skisenter;SN49085;29.03.2016;7.5
Folgefonna Skisenter;SN49085;30.03.2016;4.6
Folgefonna Skisenter;SN49085;31.03.2016;4.3
Folgefonna Skisenter;SN49085;01.04.2016;5.1
Folgefonna Skisenter;SN49085;02.04.2016;6.5
Folgefonna Skisenter;SN49085;03.04.2016;7.5
Folgefonna Skisenter;SN49085;04.04.2016;6.4
Folgefonna Skisenter;SN49085;05.04.2016;7.3
Folgefonna Skisenter;SN49085;06.04.2016;3.4
Folgefonna Skisenter;SN49085;07.04.2016;1
Folgefonna Skisenter;SN49085;08.04.2016;1.9
Folgefonna Skisenter;SN49085;09.04.2016;2.1
Folgefonna Skisenter;SN49085;10.04.2016;3.9
Folgefonna Skisenter;SN49085;11.04.2016;2.4
Folgefonna Skisenter;SN49085;12.04.2016;2.2
Folgefonna Skisenter;SN49085;13.04.2016;1.6
Folgefonna Skisenter;SN49085;14.04.2016;3.4
Folgefonna Skisenter;SN49085;15.04.2016;2.2
Folgefonna Skisenter;SN49085;16.04.2016;2.2
Folgefonna Skisenter;SN49085;17.04.2016;3.5
Folgefonna Skisenter;SN49085;18.04.2016;7.4
Folgefonna Skisenter;SN49085;19.04.2016;4.6
Folgefonna Skisenter;SN49085;20.04.2016;3.7
Folgefonna Skisenter;SN49085;21.04.2016;6.4
Folgefonna Skisenter;SN49085;22.04.2016;3.7
Folgefonna Skisenter;SN49085;23.04.2016;2.5
Folgefonna Skisenter;SN49085;24.04.2016;3
Folgefonna Skisenter;SN49085;25.04.2016;7.4
Folgefonna Skisenter;SN49085;26.04.2016;5.9
Folgefonna Skisenter;SN49085;27.04.2016;3.5
Folgefonna Skisenter;SN49085;28.04.2016;5.5
Folgefonna Skisenter;SN49085;29.04.2016;5.3
Folgefonna Skisenter;SN49085;30.04.2016;7.4
Folgefonna Skisenter;SN49085;01.05.2016;7
Folgefonna Skisenter;SN49085;02.05.2016;11.3
Folgefonna Skisenter;SN49085;03.05.2016;4
Folgefonna Skisenter;SN49085;04.05.2016;5.3
Folgefonna Skisenter;SN49085;05.05.2016;8.8
Folgefonna Skisenter;SN49085;06.05.2016;7.4
Folgefonna Skisenter;SN49085;07.05.2016;9.9
Folgefonna Skisenter;SN49085;08.05.2016;8
Folgefonna Skisenter;SN49085;09.05.2016;3.1
Folgefonna Skisenter;SN49085;10.05.2016;1.5
Folgefonna Skisenter;SN49085;11.05.2016;3.8
Folgefonna Skisenter;SN49085;12.05.2016;3.7
Folgefonna Skisenter;SN49085;13.05.2016;2.4
Folgefonna Skisenter;SN49085;14.05.2016;1.8
Folgefonna Skisenter;SN49085;15.05.2016;1.5
Folgefonna Skisenter;SN49085;16.05.2016;1.5
Folgefonna Skisenter;SN49085;17.05.2016;2.3
Folgefonna Skisenter;SN49085;18.05.2016;2.3
Folgefonna Skisenter;SN49085;19.05.2016;3.4
Folgefonna Skisenter;SN49085;20.05.2016;5.9
Folgefonna Skisenter;SN49085;21.05.2016;8.3
Folgefonna Skisenter;SN49085;22.05.2016;6.2
Folgefonna Skisenter;SN49085;23.05.2016;1.3
Folgefonna Skisenter;SN49085;24.05.2016;3.4
Folgefonna Skisenter;SN49085;25.05.2016;7.4
Folgefonna Skisenter;SN49085;26.05.2016;3.2
Folgefonna Skisenter;SN49085;27.05.2016;2.7
Folgefonna Skisenter;SN49085;28.05.2016;4.4
Folgefonna Skisenter;SN49085;29.05.2016;8.1
Folgefonna Skisenter;SN49085;30.05.2016;11.2
Folgefonna Skisenter;SN49085;31.05.2016;7.5
Folgefonna Skisenter;SN49085;01.06.2016;7.1
Folgefonna Skisenter;SN49085;02.06.2016;6.6
Folgefonna Skisenter;SN49085;03.06.2016;3.2
Folgefonna Skisenter;SN49085;04.06.2016;2.6
Folgefonna Skisenter;SN49085;05.06.2016;2.2
Folgefonna Skisenter;SN49085;06.06.2016;3.3
Folgefonna Skisenter;SN49085;07.06.2016;2
Folgefonna Skisenter;SN49085;08.06.2016;1.8
Folgefonna Skisenter;SN49085;09.06.2016;3.3
Folgefonna Skisenter;SN49085;10.06.2016;1.5
Folgefonna Skisenter;SN49085;11.06.2016;3.2
Folgefonna Skisenter;SN49085;12.06.2016;3.4
Folgefonna Skisenter;SN49085;13.06.2016;3.1
Folgefonna Skisenter;SN49085;14.06.2016;4.8
Folgefonna Skisenter;SN49085;15.06.2016;7.9
Folgefonna Skisenter;SN49085;16.06.2016;6.4
Folgefonna Skisenter;SN49085;17.06.2016;2.5
Folgefonna Skisenter;SN49085;18.06.2016;2.3
Folgefonna Skisenter;SN49085;19.06.2016;2.3
Folgefonna Skisenter;SN49085;20.06.2016;9.4
Folgefonna Skisenter;SN49085;21.06.2016;3.2
Folgefonna Skisenter;SN49085;22.06.2016;4.9
Folgefonna Skisenter;SN49085;23.06.2016;5.4
Folgefonna Skisenter;SN49085;24.06.2016;5.1
Folgefonna Skisenter;SN49085;25.06.2016;1.7
Folgefonna Skisenter;SN49085;26.06.2016;8.2
Folgefonna Skisenter;SN49085;27.06.2016;5.3
Folgefonna Skisenter;SN49085;28.06.2016;3
Folgefonna Skisenter;SN49085;29.06.2016;6.9
Folgefonna Skisenter;SN49085;30.06.2016;7.9
Folgefonna Skisenter;SN49085;01.07.2016;7.2
Folgefonna Skisenter;SN49085;02.07.2016;5.1
Folgefonna Skisenter;SN49085;03.07.2016;3.7
Folgefonna Skisenter;SN49085;04.07.2016;3.1
Folgefonna Skisenter;SN49085;05.07.2016;1.8
Folgefonna Skisenter;SN49085;06.07.2016;2.7
Folgefonna Skisenter;SN49085;07.07.2016;3.1
Folgefonna Skisenter;SN49085;08.07.2016;3.1
Folgefonna Skisenter;SN49085;09.07.2016;3.5
Folgefonna Skisenter;SN49085;10.07.2016;6.5
Folgefonna Skisenter;SN49085;11.07.2016;4.9
Folgefonna Skisenter;SN49085;12.07.2016;4.2
Folgefonna Skisenter;SN49085;13.07.2016;1.3
Folgefonna Skisenter;SN49085;14.07.2016;2.3
Folgefonna Skisenter;SN49085;15.07.2016;3.1
Folgefonna Skisenter;SN49085;16.07.2016;5.3
Folgefonna Skisenter;SN49085;17.07.2016;3.9
Folgefonna Skisenter;SN49085;18.07.2016;2.4
Folgefonna Skisenter;SN49085;19.07.2016;4.6
Folgefonna Skisenter;SN49085;20.07.2016;6.3
Folgefonna Skisenter;SN49085;21.07.2016;10.9
Folgefonna Skisenter;SN49085;22.07.2016;7.3
Folgefonna Skisenter;SN49085;23.07.2016;4
Folgefonna Skisenter;SN49085;24.07.2016;4
Folgefonna Skisenter;SN49085;25.07.2016;8.4
Folgefonna Skisenter;SN49085;26.07.2016;4.3
Folgefonna Skisenter;SN49085;27.07.2016;7.2
Folgefonna Skisenter;SN49085;28.07.2016;4.2
Folgefonna Skisenter;SN49085;29.07.2016;5.3
Folgefonna Skisenter;SN49085;30.07.2016;3.2
Folgefonna Skisenter;SN49085;31.07.2016;4.1
Folgefonna Skisenter;SN49085;01.08.2016;3.5
Folgefonna Skisenter;SN49085;02.08.2016;4
Folgefonna Skisenter;SN49085;03.08.2016;7.4
Folgefonna Skisenter;SN49085;04.08.2016;4.6
Folgefonna Skisenter;SN49085;05.08.2016;2.8
Folgefonna Skisenter;SN49085;06.08.2016;2.3
Folgefonna Skisenter;SN49085;07.08.2016;5.9
Folgefonna Skisenter;SN49085;08.08.2016;6.7
Folgefonna Skisenter;SN49085;09.08.2016;5.2
Folgefonna Skisenter;SN49085;10.08.2016;3.2
Folgefonna Skisenter;SN49085;11.08.2016;2.2
Folgefonna Skisenter;SN49085;12.08.2016;5.7
Folgefonna Skisenter;SN49085;13.08.2016;3.3
Folgefonna Skisenter;SN49085;14.08.2016;2.3
Folgefonna Skisenter;SN49085;15.08.2016;1.3
Folgefonna Skisenter;SN49085;16.08.2016;1.3
