,Navn,Stasjon,Tid(norsk normaltid),Nedbør (1 t),Maksimumstemperatur (1 t),Minimumstemperatur (1 t),Middelvind,Høyeste middelvind (1 t)
35081,Bergen - Florida,SN50540,31.12.2024 18:00,-0.5,0.0,-0.3,8.4,8.4
35082,Bergen - Florida,SN50540,31.12.2024 19:00,-0.5,0.0,-0.4,7.9,8.7
35083,Bergen - Florida,SN50540,31.12.2024 20:00,-0.2,0.3,-0.3,6.0,8.3
35084,Bergen - Florida,SN50540,31.12.2024 21:00,-0.1,1.8,0.3,3.3,6.2
35085,Bergen - Florida,SN50540,31.12.2024 22:00,-0.0,1.7,1.3,2.3,3.2
35086,Bergen - Florida,SN50540,31.12.2024 23:00,-0.1,1.9,1.5,2.4,2.4
35087,Bergen - Florida,SN50540,01.01.2025 00:00,-0.0,1.6,1.1,0.9,2.4
35088,Bergen - Florida,SN50540,01.01.2025 01:00,-0.4,1.1,0.7,1.3,1.6
35089,Bergen - Florida,SN50540,01.01.2025 02:00,-0.7,0.7,0.5,2.8,2.8
35090,Bergen - Florida,SN50540,01.01.2025 03:00,-0.9,0.6,0.2,2.9,3.0
35091,Bergen - Florida,SN50540,01.01.2025 04:00,-0.6,0.2,-0.1,1.2,3.4
35092,Bergen - Florida,SN50540,01.01.2025 05:00,-0.0,-0.1,-0.9,1.6,2.2
35093,Bergen - Florida,SN50540,01.01.2025 06:00,-0.0,-0.7,-1.3,1.6,3.2
35094,Bergen - Florida,SN50540,01.01.2025 07:00,-0.0,-1.2,-1.8,1.6,2.9
35095,Bergen - Florida,SN50540,01.01.2025 08:00,-0.0,-1.5,-1.9,4.1,4.9
35096,Bergen - Florida,SN50540,01.01.2025 09:00,-0.0,-1.3,-1.7,6.0,6.0
35097,Bergen - Florida,SN50540,01.01.2025 10:00,-0.0,-1.1,-1.8,5.7,7.9
35098,Bergen - Florida,SN50540,01.01.2025 11:00,-0.0,-1.5,-2.0,8.4,8.4
35099,Bergen - Florida,SN50540,01.01.2025 12:00,-0.0,-1.4,-2.1,2.1,8.3
35100,Bergen - Florida,SN50540,01.01.2025 13:00,-0.0,-1.5,-2.2,3.6,3.9
35101,Bergen - Florida,SN50540,01.01.2025 14:00,-0.0,-1.5,-1.7,5.1,8.0
35102,Bergen - Florida,SN50540,01.01.2025 15:00,-0.0,-1.5,-1.8,4.0,5.1
35103,Bergen - Florida,SN50540,01.01.2025 16:00,-0.0,-1.6,-1.9,5.5,5.6
35104,Bergen - Florida,SN50540,01.01.2025 17:00,-0.0,-1.3,-1.8,6.0,7.0
35105,Bergen - Florida,SN50540,01.01.2025 18:00,-0.0,-1.2,-1.9,5.6,6.6
35106,Bergen - Florida,SN50540,01.01.2025 19:00,-0.0,-1.4,-2.4,3.2,5.7
35107,Bergen - Florida,SN50540,01.01.2025 20:00,-0.0,-2.3,-3.1,0.8,3.5
35108,Bergen - Florida,SN50540,01.01.2025 21:00,-0.0,-3.1,-3.7,1.5,1.5
35109,Bergen - Florida,SN50540,01.01.2025 22:00,-0.0,-3.2,-4.0,1.7,3.1
35110,Bergen - Florida,SN50540,01.01.2025 23:00,-0.0,-4.0,-5.2,1.6,1.6
35111,Bergen - Florida,SN50540,02.01.2025 00:00,-0.0,-5.0,-6.0,0.6,1.7
35112,Bergen - Florida,SN50540,02.01.2025 01:00,-0.0,-5.6,-6.3,1.2,1.6
35113,Bergen - Florida,SN50540,02.01.2025 02:00,-0.0,-6.1,-6.7,1.4,2.0
35114,Bergen - Florida,SN50540,02.01.2025 03:00,-0.0,-5.8,-6.5,1.1,2.1
35115,Bergen - Florida,SN50540,02.01.2025 04:00,-0.0,-5.3,-6.0,1.2,2.0
35116,Bergen - Florida,SN50540,02.01.2025 05:00,-0.5,-4.5,-5.3,2.3,2.3
35117,Bergen - Florida,SN50540,02.01.2025 06:00,-0.2,-4.3,-4.8,3.8,4.2
35118,Bergen - Florida,SN50540,02.01.2025 07:00,-1.2,-4.1,-4.3,0.6,3.6
35119,Bergen - Florida,SN50540,02.01.2025 08:00,-0.4,-2.7,-4.2,2.5,2.7
35120,Bergen - Florida,SN50540,02.01.2025 09:00,-0.1,-2.6,-2.9,1.2,2.4
35121,Bergen - Florida,SN50540,02.01.2025 10:00,-0.1,-2.3,-2.9,3.3,3.3
35122,Bergen - Florida,SN50540,02.01.2025 11:00,-0.3,-2.0,-2.6,0.8,3.3
35123,Bergen - Florida,SN50540,02.01.2025 12:00,-0.1,-0.8,-2.1,5.8,9.1
35124,Bergen - Florida,SN50540,02.01.2025 13:00,-0.3,-0.4,-1.3,5.4,7.5
35125,Bergen - Florida,SN50540,02.01.2025 14:00,-0.3,-0.6,-2.1,5.9,9.4
35126,Bergen - Florida,SN50540,02.01.2025 15:00,-0.2,-1.2,-2.2,5.6,7.4
35127,Bergen - Florida,SN50540,02.01.2025 16:00,-0.1,-1.0,-1.9,6.1,10.2
35128,Bergen - Florida,SN50540,02.01.2025 17:00,-0.3,-1.9,-2.6,2.9,6.0
35129,Bergen - Florida,SN50540,02.01.2025 18:00,-0.1,-2.3,-2.6,0.8,2.9
35130,Bergen - Florida,SN50540,02.01.2025 19:00,-0.2,-1.9,-2.4,0.9,4.9
35131,Bergen - Florida,SN50540,02.01.2025 20:00,-0.0,-2.4,-2.6,3.8,4.2
35132,Bergen - Florida,SN50540,02.01.2025 21:00,-2.4,-2.4,-3.0,2.6,4.0
35133,Bergen - Florida,SN50540,02.01.2025 22:00,-3.0,-2.8,-3.0,1.1,3.3
35134,Bergen - Florida,SN50540,02.01.2025 23:00,-2.0,-2.7,-2.8,0.8,2.6
35135,Bergen - Florida,SN50540,03.01.2025 00:00,-1.2,-2.3,-3.2,9.9,11.3
35136,Bergen - Florida,SN50540,03.01.2025 01:00,-0.2,-3.0,-3.7,7.3,10.9
35137,Bergen - Florida,SN50540,03.01.2025 02:00,-0.1,-3.2,-4.2,4.2,8.1
35138,Bergen - Florida,SN50540,03.01.2025 03:00,-0.0,-4.1,-4.6,5.3,5.7
35139,Bergen - Florida,SN50540,03.01.2025 04:00,-0.0,-4.1,-5.1,3.3,5.2
35140,Bergen - Florida,SN50540,03.01.2025 05:00,-0.0,-5.1,-6.2,1.2,3.9
35141,Bergen - Florida,SN50540,03.01.2025 06:00,-0.0,-5.6,-6.7,1.0,1.9
35142,Bergen - Florida,SN50540,03.01.2025 07:00,-0.3,-6.4,-7.6,1.6,2.0
35143,Bergen - Florida,SN50540,03.01.2025 08:00,-0.3,-6.1,-6.8,2.6,2.9
35144,Bergen - Florida,SN50540,03.01.2025 09:00,-0.2,-6.1,-6.5,3.4,3.4
35145,Bergen - Florida,SN50540,03.01.2025 10:00,-0.1,-5.7,-6.4,2.0,3.4
35146,Bergen - Florida,SN50540,03.01.2025 11:00,-0.6,-3.5,-5.6,1.4,2.4
35147,Bergen - Florida,SN50540,03.01.2025 12:00,-1.0,-2.7,-3.4,1.9,2.1
35148,Bergen - Florida,SN50540,03.01.2025 13:00,-0.6,-2.3,-2.9,1.9,1.9
35149,Bergen - Florida,SN50540,03.01.2025 14:00,-0.0,-1.9,-2.4,2.5,4.4
35150,Bergen - Florida,SN50540,03.01.2025 15:00,-0.2,-1.3,-2.1,2.9,7.0
35151,Bergen - Florida,SN50540,03.01.2025 16:00,-0.1,-1.5,-2.4,1.7,4.4
35152,Bergen - Florida,SN50540,03.01.2025 17:00,-0.0,-2.3,-3.7,1.2,3.1
35153,Bergen - Florida,SN50540,03.01.2025 18:00,-0.0,-3.7,-4.2,2.0,2.3
35154,Bergen - Florida,SN50540,03.01.2025 19:00,-0.0,-4.1,-4.9,3.3,3.6
35155,Bergen - Florida,SN50540,03.01.2025 20:00,-0.0,-4.8,-5.6,3.1,3.3
35156,Bergen - Florida,SN50540,03.01.2025 21:00,-0.3,-4.5,-5.7,2.3,3.1
35157,Bergen - Florida,SN50540,03.01.2025 22:00,-1.2,-3.1,-4.5,4.6,4.6
35158,Bergen - Florida,SN50540,03.01.2025 23:00,-1.2,-2.5,-3.1,3.9,4.6
35159,Bergen - Florida,SN50540,04.01.2025 00:00,-2.3,-2.1,-2.5,2.3,4.9
35160,Bergen - Florida,SN50540,04.01.2025 01:00,-0.0,-2.1,-2.4,1.9,3.0
35161,Bergen - Florida,SN50540,04.01.2025 02:00,-2.4,-1.8,-2.2,1.8,1.9
35162,Bergen - Florida,SN50540,04.01.2025 03:00,-0.3,-1.8,-2.0,3.0,3.3
35163,Bergen - Florida,SN50540,04.01.2025 04:00,-3.9,-1.5,-1.9,1.5,3.6
35164,Bergen - Florida,SN50540,04.01.2025 05:00,-0.9,-1.5,-2.6,3.2,3.5
35165,Bergen - Florida,SN50540,04.01.2025 06:00,-0.9,-2.0,-2.9,0.5,3.6
35166,Bergen - Florida,SN50540,04.01.2025 07:00,-0.5,-2.0,-2.8,2.1,3.4
35167,Bergen - Florida,SN50540,04.01.2025 08:00,-0.0,-2.5,-3.0,2.4,3.3
35168,Bergen - Florida,SN50540,04.01.2025 09:00,-2.2,-2.2,-2.5,1.2,2.3
35169,Bergen - Florida,SN50540,04.01.2025 10:00,-0.1,-2.3,-2.7,3.0,3.2
35170,Bergen - Florida,SN50540,04.01.2025 11:00,-0.0,-2.1,-2.7,0.5,2.9
35171,Bergen - Florida,SN50540,04.01.2025 12:00,-0.2,-1.7,-2.1,0.7,1.0
35172,Bergen - Florida,SN50540,04.01.2025 13:00,-0.1,-1.3,-1.8,1.2,1.7
35173,Bergen - Florida,SN50540,04.01.2025 14:00,-0.1,-1.1,-2.3,1.8,1.9
35174,Bergen - Florida,SN50540,04.01.2025 15:00,-0.0,-1.6,-2.3,0.6,1.8
35175,Bergen - Florida,SN50540,04.01.2025 16:00,-0.0,-2.3,-3.5,1.8,1.8
35176,Bergen - Florida,SN50540,04.01.2025 17:00,-0.0,-3.5,-4.0,2.5,2.6
35177,Bergen - Florida,SN50540,04.01.2025 18:00,-0.0,-4.1,-4.7,2.6,2.9
35178,Bergen - Florida,SN50540,04.01.2025 19:00,-0.0,-4.5,-5.5,1.8,2.5
35179,Bergen - Florida,SN50540,04.01.2025 20:00,-0.0,-5.2,-5.8,2.6,2.7
35180,Bergen - Florida,SN50540,04.01.2025 21:00,-0.0,-4.8,-5.6,0.7,2.7
35181,Bergen - Florida,SN50540,04.01.2025 22:00,-0.0,-5.3,-6.5,0.3,1.1
35182,Bergen - Florida,SN50540,04.01.2025 23:00,-0.0,-6.3,-6.7,0.7,1.2
35183,Bergen - Florida,SN50540,05.01.2025 00:00,-0.0,-6.5,-7.2,0.8,1.1
35184,Bergen - Florida,SN50540,05.01.2025 01:00,-0.0,-6.8,-7.6,0.5,0.9
35185,Bergen - Florida,SN50540,05.01.2025 02:00,-0.0,-7.2,-7.9,0.6,0.7
35186,Bergen - Florida,SN50540,05.01.2025 03:00,-0.0,-7.2,-8.1,0.7,1.2
35187,Bergen - Florida,SN50540,05.01.2025 04:00,-0.0,-7.8,-8.3,0.5,1.5
35188,Bergen - Florida,SN50540,05.01.2025 05:00,-0.0,-7.8,-8.5,1.3,1.3
35189,Bergen - Florida,SN50540,05.01.2025 06:00,-0.0,-8.0,-8.7,0.7,1.3
35190,Bergen - Florida,SN50540,05.01.2025 07:00,-0.0,-8.1,-8.6,1.1,1.3
35191,Bergen - Florida,SN50540,05.01.2025 08:00,-0.0,-8.2,-8.8,0.6,1.2
35192,Bergen - Florida,SN50540,05.01.2025 09:00,-0.0,-8.1,-8.5,0.3,1.3
35193,Bergen - Florida,SN50540,05.01.2025 10:00,-0.0,-7.7,-8.5,0.3,0.4
35194,Bergen - Florida,SN50540,05.01.2025 11:00,-0.0,-6.4,-7.7,0.8,1.1
35195,Bergen - Florida,SN50540,05.01.2025 12:00,-0.2,-5.2,-6.4,0.3,1.1
35196,Bergen - Florida,SN50540,05.01.2025 13:00,-0.8,-4.5,-5.2,0.9,1.7
35197,Bergen - Florida,SN50540,05.01.2025 14:00,-2.1,-4.0,-4.5,0.9,0.9
35198,Bergen - Florida,SN50540,05.01.2025 15:00,-1.5,-3.5,-4.0,1.4,1.4
35199,Bergen - Florida,SN50540,05.01.2025 16:00,-0.5,-2.7,-3.5,1.9,2.7
35200,Bergen - Florida,SN50540,05.01.2025 17:00,-1.3,-2.5,-2.7,1.8,2.0
35201,Bergen - Florida,SN50540,05.01.2025 18:00,-0.1,-2.2,-2.6,0.8,1.8
35202,Bergen - Florida,SN50540,05.01.2025 19:00,-0.2,-0.9,-2.4,2.5,2.6
35203,Bergen - Florida,SN50540,05.01.2025 20:00,-0.0,1.0,-0.8,4.3,4.8
35204,Bergen - Florida,SN50540,05.01.2025 21:00,-0.0,1.3,0.9,3.2,4.1
35205,Bergen - Florida,SN50540,05.01.2025 22:00,-0.0,1.9,1.0,3.3,4.2
35206,Bergen - Florida,SN50540,05.01.2025 23:00,-0.0,2.2,0.4,1.7,3.4
35207,Bergen - Florida,SN50540,06.01.2025 00:00,-0.0,0.3,-0.1,1.0,1.7
35208,Bergen - Florida,SN50540,06.01.2025 01:00,-0.0,-0.1,-0.4,1.0,2.2
35209,Bergen - Florida,SN50540,06.01.2025 02:00,-0.0,-0.3,-0.7,1.7,2.0
35210,Bergen - Florida,SN50540,06.01.2025 03:00,-0.0,-0.6,-0.9,2.6,2.6
35211,Bergen - Florida,SN50540,06.01.2025 04:00,-0.0,1.2,-0.6,4.0,4.1
35212,Bergen - Florida,SN50540,06.01.2025 05:00,-0.0,3.3,1.5,7.2,7.2
35213,Bergen - Florida,SN50540,06.01.2025 06:00,-0.0,3.3,3.1,9.1,10.0
35214,Bergen - Florida,SN50540,06.01.2025 07:00,-0.0,3.5,3.2,8.6,9.6
35215,Bergen - Florida,SN50540,06.01.2025 08:00,-0.0,3.5,3.1,8.4,10.6
